id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
102	2019-05-05	19. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
248	2019-05-11	5. Põleva Kivi Rattamaraton	Illuka		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
175	2019-05-15	Filter Temposari II etapp	Maardu	9.8	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
103	2019-05-18	21. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
249	2019-05-18	5. Valgehobusemäe Rattamaraton	Valgehobusemäe		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
6	2019-05-26	38. Tartu Rattaralli	Tartu	124	B	Road Race	2025-01-28 12:57:46.502954	https://tartumaraton.ee/		
176	2019-05-29	Filter Temposari III etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
138	2019-06-01	5. Alutaguse Rattamaraton - XXL-sõit	Alutaguse		B	MTB	2025-02-05 12:17:12.291417	https://www.rattamaratonid.ee/		Bosch
104	2019-06-01	5. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
250	2019-06-08	9. Tallinna Rahvasõit	Tallinn		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
177	2019-06-12	Filter Temposari IV etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
139	2019-06-15	13. Jõelähtme Rattamaraton - XXL-sõit	Jõelähtme		C	MTB	2025-02-05 12:17:12.291417	https://www.rattamaratonid.ee/		Bosch
105	2019-06-15	13. Jõelähtme Rattamaraton	Jõelähtme		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
178	2019-06-19	Filter Temposari V etapp	Aruküla	19.7	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
251	2019-07-06	17. Raplamaa Rattamaraton	Raplamaa		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
106	2019-07-14	17. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
179	2019-07-24	Filter Temposari VI etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
252	2019-07-27	19. Elva Rattamaraton	Elva		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
107	2019-07-28	19. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
140	2019-07-28	19. Rakke Rattamaraton - XXL-sõit	Rakke		C	MTB	2025-02-05 12:17:12.291417	https://www.rattamaratonid.ee/		Bosch
253	2019-08-06	16. Kullamaa Rattamaraton	Kullamaa		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
108	2019-08-24	22. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
180	2019-08-25	Filter Temposari Finaal	Ikla	24.94	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
254	2019-09-07	20. Jõulumäe Rattamaraton	Jõulumäe		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
31	2019-09-15	22. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
255	2019-09-28	9. Karujärve Rattamaraton	Karujärve		C	MTB	2025-04-23 05:03:00.050448	https://estoniancup.ee		Estonian Cup
126	2019-12-31	Bosch MTB Marathon Series GC 2019	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
237	2019-12-31	Estonian Cup Marathon Series GC 2019	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
256	2020-05-10	6. Valgehobusemäe Rattamaraton	Valgehobusemäe		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
181	2020-05-31	Filter Temposari I etapp	Kose-Risti	20	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
182	2020-06-07	Filter Temposari II etapp	Aruküla	19.7	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
183	2020-06-14	Filter Temposari III etapp	Kiili	25.12	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
184	2020-06-21	Filter Temposari IV etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
257	2020-06-27	18. Raplamaa Rattamaraton	Raplamaa		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
185	2020-06-28	Filter Temposari V etapp	Viimsi	13.92	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
258	2020-06-28	12. Kalevipoja Rattamaraton	Kuremaa		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
